true_changepoint_interval,number_of_examples,detection_recall,detection_f1_score,localization_mae,localization_rmse,localization_mae_true_positive,localization_rmse_true_positive
40–50,7826,0.756325,0.861259,16.711302,28.455696,7.365205,17.769844
50–60,8317,0.784057,0.878959,12.804769,22.814568,5.826895,14.335802
60–70,8402,0.785170,0.879659,10.463838,18.625324,5.228860,12.630728
70–80,8320,0.798317,0.887849,7.590176,13.890915,4.181170,10.000983
80–90,8384,0.803316,0.890932,5.766520,10.855259,3.775746,8.869053
90–100,8346,0.802540,0.890455,4.463407,8.660196,3.437223,7.760745
100–110,8359,0.819117,0.900566,4.661295,8.983149,3.587435,8.017944
110–120,8414,0.813406,0.897103,5.841452,10.902994,3.704324,8.524596
120–130,8307,0.816901,0.899225,7.264700,13.760507,3.932819,9.529543
130–140,8374,0.810246,0.895178,9.854177,18.216555,4.873480,11.843121
140–150,8188,0.805569,0.892316,12.124493,22.384674,5.461360,13.663512
150–160,8345,0.792331,0.884135,15.142797,27.089493,6.692941,16.267706
