category,transition,detection_recall,false_negative_rate,mae_all,rmse_all,nmae_all,nrmse_all,mae_true_positive,rmse_true_positive,interpretation
Easy,LW → FBM,0.9842,0.0158,0.966865,5.242407,0.004834,0.026212,0.553408,3.017684,High detection recall and low localization error.
Easy,FBM → LW,0.9858,0.0142,1.097203,5.495691,0.005486,0.027478,0.689070,3.578769,High detection recall and low localization error.
Easy,CTRW → LW,0.9848,0.0152,1.120018,5.713130,0.005600,0.028566,0.748982,4.216177,High detection recall and low localization error.
Easy,LW → CTRW,0.9860,0.0140,1.271205,5.912033,0.006356,0.029560,0.887467,4.277848,High detection recall and low localization error.
Easy,SBM → LW,0.9834,0.0166,1.585400,5.933943,0.007927,0.029670,1.196954,4.168576,High detection recall and low localization error.
Difficult,CTRW → FBM,0.4496,0.5504,22.073345,29.162350,0.110367,0.145812,13.921698,21.997316,Low detection recall and/or high localization ...
Difficult,ATTM → FBM,0.5380,0.4620,20.393925,27.987778,0.101970,0.139939,13.605504,22.058176,Low detection recall and/or high localization ...
Difficult,ATTM → CTRW,0.5446,0.4554,20.407578,27.969597,0.102038,0.139848,15.590796,23.862913,Low detection recall and/or high localization ...
Difficult,CTRW → ATTM,0.5320,0.4680,19.189230,27.259912,0.095946,0.136300,12.088592,20.853558,Low detection recall and/or high localization ...
Difficult,FBM → CTRW,0.5664,0.4336,19.058495,25.972143,0.095292,0.129861,13.064475,20.115801,Low detection recall and/or high localization ...
