transition,model1,model2,n_examples,n_true_positives,n_false_negatives,detection_recall,false_negative_rate,mae_all,rmse_all,mae_true_positive,rmse_true_positive,nmae_all,nrmse_all,nmae_true_positive,nrmse_true_positive
LW → FBM,LW,FBM,5000,4921,79,0.9842,0.0158,0.966865,5.242407,0.553408,3.017684,0.004834,0.026212,0.002767,0.015088
FBM → LW,FBM,LW,5000,4929,71,0.9858,0.0142,1.097203,5.495691,0.689070,3.578769,0.005486,0.027478,0.003445,0.017894
SBM → LW,SBM,LW,5000,4917,83,0.9834,0.0166,1.585400,5.933943,1.196954,4.168576,0.007927,0.029670,0.005985,0.020843
CTRW → LW,CTRW,LW,5000,4924,76,0.9848,0.0152,1.120018,5.713130,0.748982,4.216177,0.005600,0.028566,0.003745,0.021081
LW → CTRW,LW,CTRW,5000,4930,70,0.9860,0.0140,1.271205,5.912033,0.887467,4.277848,0.006356,0.029560,0.004437,0.021389
LW → SBM,LW,SBM,5000,4910,90,0.9820,0.0180,1.651543,6.083807,1.205911,4.335788,0.008258,0.030419,0.006030,0.021679
ATTM → LW,ATTM,LW,5000,4910,90,0.9820,0.0180,1.458217,6.941288,0.961858,5.142525,0.007291,0.034706,0.004809,0.025713
LW → ATTM,LW,ATTM,5000,4918,82,0.9836,0.0164,1.398040,6.581477,0.990246,5.314987,0.006990,0.032907,0.004951,0.026575
FBM → SBM,FBM,SBM,5000,4244,756,0.8488,0.1512,8.481467,15.735764,5.127964,10.177190,0.042407,0.078679,0.025640,0.050886
SBM → FBM,SBM,FBM,5000,3884,1116,0.7768,0.2232,9.712850,18.152662,4.574739,10.261320,0.048564,0.090763,0.022874,0.051307
